player_id,player_name,player_display_name,position,position_group,headshot_url,recent_team,season,week,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
00-0000007,,Rabih Abdullah,RB,RB,,NE,2004,2,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,1,4,0,0,0,1,0.921180764737073,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0.4,0.4
00-0000007,,Rabih Abdullah,RB,RB,,NE,2004,5,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,5,4,1,0,0,1,-1.90489810553845,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,6.4,6.4
00-0000007,,Rabih Abdullah,RB,RB,,NE,2004,6,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,1,1,9,0,0,0,0,0,0,-0.472900848602876,0,0,0.0344827586206897,0,0,0,0.9,1.9
00-0000007,,Rabih Abdullah,RB,RB,,NE,2004,10,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,4,-5,0,0,0,0,-3.20625989433029,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,-0.5,-0.5
00-0000007,,Rabih Abdullah,RB,RB,,NE,2004,16,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,1,5,0,0,0,1,-0.778662896482274,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,0.5,0.5
00-0000007,,Rabih Abdullah,RB,RB,,NE,2004,17,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,2,5,0,0,0,0,-0.688733512535691,0,0,1,0,0,0,0,0,0,0,-2.65919927216601,0,0,0.0294117647058824,0,0,0,0.5,0.5
00-0000100,,Chidi Ahanotu,DE,DL,,MIA,2004,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,-0.11225197132444,0,0,0.0227272727272727,0,0,0,0,0
00-0000166,,Stephen Alexander,TE,TE,,DET,2004,1,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,2,5,15,0,0,0,0,0,0,-3.95390253418434,0,0,0.192307692307692,0,0,0,1.5,3.5
00-0000166,,Stephen Alexander,TE,TE,,DET,2004,2,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,2,3,13,0,0,0,0,0,1,1.28356685873587,0,0,0.12,0,0,0,1.3,3.3
00-0000166,,Stephen Alexander,TE,TE,,DET,2004,3,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,3,6,15,0,0,0,0,0,1,-2.70654375676531,0,0,0.157894736842105,0,0,0,1.5,4.5
00-0000166,,Stephen Alexander,TE,TE,,DET,2004,5,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,2,3,15,0,0,0,0,0,1,0.120058222324587,0,0,0.125,0,0,0,1.5,3.5
00-0000166,,Stephen Alexander,TE,TE,,DET,2004,6,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,1,3,4,0,0,0,0,0,0,-1.82782544277143,0,0,0.130434782608696,0,0,0,0.4,1.4
00-0000166,,Stephen Alexander,TE,TE,,DET,2004,7,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,5,5,52,0,0,0,0,0,2,3.86323969590012,0,0,0.227272727272727,0,0,0,5.2,10.2
00-0000166,,Stephen Alexander,TE,TE,,DET,2004,8,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,2,4,25,0,0,0,0,0,2,1.12621892726747,0,0,0.125,0,0,0,2.5,4.5
00-0000166,,Stephen Alexander,TE,TE,,DET,2004,9,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,2,7,19,0,0,0,0,0,1,-2.91916890663561,0,0,0.14,0,0,0,1.9,3.9
00-0000166,,Stephen Alexander,TE,TE,,DET,2004,10,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,3,7,24,0,0,0,0,0,1,-3.98909630253911,0,0,0.212121212121212,0,0,0,2.4,5.4
00-0000166,,Stephen Alexander,TE,TE,,DET,2004,11,REG,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,4,5,27,1,0,0,0,0,2,1.40413268178236,0,0,0.263157894736842,0,0,0,8.7,12.7
