season,game_type,team,week,Probable,Questionable,Doubtful,Out
2009,CON,IND,20,16,1,0,0
2009,CON,MIN,20,5,5,0,0
2009,CON,NO,20,4,2,0,0
2009,CON,NYJ,20,8,0,0,0
2009,DIV,ARI,19,5,4,0,0
2009,DIV,BAL,19,6,0,0,0
2009,DIV,DAL,19,5,0,0,0
2009,DIV,IND,19,22,0,0,0
2009,DIV,MIN,19,5,2,0,0
2009,DIV,NO,19,4,0,0,0
2009,DIV,NYJ,19,8,0,0,0
2009,DIV,SD,19,1,0,0,0
2009,REG,ARI,1,3,3,0,0
2009,REG,ARI,2,3,4,0,2
2009,REG,ARI,3,9,6,0,1
2009,REG,ARI,5,3,5,0,0
2009,REG,ARI,6,3,5,0,1
2009,REG,ARI,7,4,2,0,1
2009,REG,ARI,8,3,4,0,0
2009,REG,ARI,9,9,5,0,0
2009,REG,ARI,10,5,4,2,0
2009,REG,ARI,11,5,7,0,1
2009,REG,ARI,12,4,5,0,1
2009,REG,ARI,13,0,6,2,1
2009,REG,ARI,14,8,3,0,1
2009,REG,ARI,15,3,4,0,3
2009,REG,ARI,16,3,4,0,1
2009,REG,ARI,17,4,7,0,0
2009,REG,ATL,1,6,0,0,1
2009,REG,ATL,2,2,1,0,0
2009,REG,ATL,3,3,1,0,0
2009,REG,ATL,5,2,0,0,1
2009,REG,ATL,6,2,2,0,1
2009,REG,ATL,7,2,1,2,1
2009,REG,ATL,8,2,10,0,0
2009,REG,ATL,9,1,10,0,0
2009,REG,ATL,10,1,7,0,0
2009,REG,ATL,11,1,3,1,1
2009,REG,ATL,12,3,5,0,1
2009,REG,ATL,13,1,7,0,1
2009,REG,ATL,14,1,9,0,2
2009,REG,ATL,15,4,8,1,0
2009,REG,ATL,16,0,8,1,0
2009,REG,ATL,17,0,12,0,0
2009,REG,BAL,1,2,1,1,0
2009,REG,BAL,2,4,1,1,0
2009,REG,BAL,3,4,3,0,0
2009,REG,BAL,4,7,3,0,0
2009,REG,BAL,5,7,1,0,0
2009,REG,BAL,6,5,0,1,0
2009,REG,BAL,8,6,1,0,0
2009,REG,BAL,9,6,3,0,0
2009,REG,BAL,10,10,3,0,0
2009,REG,BAL,11,4,2,0,2
2009,REG,BAL,12,5,2,1,0
2009,REG,BAL,13,10,3,2,0
2009,REG,BAL,14,2,4,4,0
2009,REG,BAL,15,3,7,1,2
2009,REG,BAL,16,7,5,3,0
2009,REG,BAL,17,3,6,0,0
2009,REG,BUF,1,1,0,0,2
2009,REG,BUF,2,4,1,0,1
2009,REG,BUF,3,3,2,2,3
2009,REG,BUF,4,2,0,0,6
2009,REG,BUF,5,4,1,0,4
2009,REG,BUF,6,5,1,0,4
2009,REG,BUF,7,2,1,1,4
2009,REG,BUF,8,2,1,0,6
2009,REG,BUF,10,6,5,0,3
2009,REG,BUF,11,0,4,0,5
2009,REG,BUF,12,2,3,0,3
2009,REG,BUF,13,0,2,0,3
2009,REG,BUF,14,3,6,0,3
2009,REG,BUF,15,1,4,0,1
2009,REG,BUF,16,0,4,0,3
2009,REG,BUF,17,2,2,1,8
2009,REG,CAR,1,0,2,0,0
2009,REG,CAR,2,5,1,1,0
2009,REG,CAR,3,11,0,3,1
2009,REG,CAR,5,4,1,0,1
2009,REG,CAR,6,6,2,0,0
2009,REG,CAR,7,0,5,0,0
2009,REG,CAR,8,0,5,0,3
2009,REG,CAR,9,1,7,0,1
2009,REG,CAR,10,2,5,2,0
2009,REG,CAR,11,0,3,3,1
2009,REG,CAR,12,2,4,1,0
2009,REG,CAR,13,5,1,3,2
2009,REG,CAR,14,4,3,0,2
2009,REG,CAR,15,4,2,0,1
2009,REG,CAR,16,0,3,2,1
2009,REG,CAR,17,0,5,2,1
2009,REG,CHI,1,1,2,0,0
2009,REG,CHI,2,5,0,2,0
2009,REG,CHI,3,3,1,1,1
2009,REG,CHI,4,5,3,2,0
2009,REG,CHI,6,1,3,2,0
2009,REG,CHI,7,5,0,2,1
2009,REG,CHI,8,8,0,1,1
2009,REG,CHI,9,7,2,0,1
2009,REG,CHI,10,3,1,0,3
2009,REG,CHI,11,0,0,2,2
2009,REG,CHI,12,4,0,1,1
2009,REG,CHI,13,1,3,2,0
2009,REG,CHI,14,4,2,0,0
2009,REG,CHI,15,0,5,1,0
2009,REG,CHI,16,4,4,1,1
2009,REG,CHI,17,3,0,3,2
2009,REG,CIN,1,3,1,0,2
2009,REG,CIN,2,3,0,0,3
2009,REG,CIN,3,4,3,0,2
2009,REG,CIN,4,5,5,0,1
2009,REG,CIN,5,5,3,0,2
2009,REG,CIN,6,5,2,2,1
2009,REG,CIN,7,7,2,1,2
2009,REG,CIN,9,4,2,0,0
2009,REG,CIN,10,4,2,2,1
2009,REG,CIN,11,2,3,3,0
2009,REG,CIN,12,5,5,0,0
2009,REG,CIN,13,9,0,3,0
2009,REG,CIN,14,3,2,0,3
2009,REG,CIN,15,5,1,0,2
2009,REG,CIN,16,6,0,0,0
2009,REG,CIN,17,3,4,1,1
2009,REG,CLE,1,2,4,1,1
2009,REG,CLE,2,5,4,0,1
2009,REG,CLE,3,6,3,3,0
2009,REG,CLE,4,5,5,3,0
2009,REG,CLE,5,8,4,2,0
2009,REG,CLE,6,10,7,0,0
2009,REG,CLE,7,15,6,2,0
2009,REG,CLE,8,12,6,0,0
2009,REG,CLE,10,5,8,0,0
2009,REG,CLE,11,7,4,0,0
2009,REG,CLE,12,6,6,0,0
2009,REG,CLE,13,7,4,0,1
2009,REG,CLE,14,9,4,0,1
2009,REG,CLE,15,8,2,1,0
2009,REG,CLE,16,7,3,1,0
2009,REG,CLE,17,7,4,3,1
2009,REG,DAL,1,0,1,0,3
2009,REG,DAL,2,4,0,0,2
2009,REG,DAL,4,4,0,0,3
2009,REG,DAL,5,3,1,2,3
2009,REG,DAL,7,10,0,0,0
2009,REG,DAL,8,3,1,0,1
2009,REG,DAL,9,4,0,0,1
2009,REG,DAL,10,5,0,0,1
2009,REG,DAL,11,5,0,0,3
2009,REG,DAL,12,7,1,0,2
2009,REG,DAL,13,5,0,0,2
2009,REG,DAL,14,5,0,0,3
2009,REG,DAL,15,3,2,0,3
2009,REG,DAL,16,6,0,0,2
2009,REG,DAL,17,4,0,0,2
2009,REG,DEN,1,1,5,0,2
2009,REG,DEN,2,5,2,0,2
2009,REG,DEN,3,6,3,0,1
2009,REG,DEN,4,2,2,2,1
2009,REG,DEN,5,0,3,0,2
2009,REG,DEN,6,1,0,0,1
2009,REG,DEN,8,3,0,0,0
2009,REG,DEN,9,2,0,0,2
2009,REG,DEN,10,1,1,1,1
2009,REG,DEN,11,3,2,0,2
2009,REG,DEN,12,2,0,0,2
2009,REG,DEN,13,5,1,0,0
2009,REG,DEN,14,3,1,0,0
2009,REG,DEN,15,6,1,2,0
2009,REG,DEN,16,4,1,0,2
2009,REG,DEN,17,6,2,0,1
2009,REG,DET,1,4,3,1,0
2009,REG,DET,2,5,2,2,0
2009,REG,DET,3,5,3,3,0
2009,REG,DET,4,1,5,3,0
2009,REG,DET,5,5,5,0,2
2009,REG,DET,6,5,6,3,0
2009,REG,DET,8,9,5,0,1
2009,REG,DET,9,6,3,0,0
2009,REG,DET,10,7,3,0,1
2009,REG,DET,11,11,3,0,3
2009,REG,DET,12,5,3,2,3
2009,REG,DET,13,5,4,0,2
2009,REG,DET,14,8,2,2,1
2009,REG,DET,15,3,5,2,1
2009,REG,DET,16,5,5,0,2
2009,REG,DET,17,6,2,0,1
2009,REG,GB,1,2,2,1,0
2009,REG,GB,2,3,2,0,2
2009,REG,GB,3,4,3,0,3
2009,REG,GB,4,5,1,0,3
2009,REG,GB,6,8,2,0,3
2009,REG,GB,7,4,1,2,5
2009,REG,GB,8,5,3,2,2
2009,REG,GB,9,4,4,0,4
2009,REG,GB,10,8,1,0,4
2009,REG,GB,11,13,2,1,0
2009,REG,GB,12,9,0,2,2
2009,REG,GB,13,8,1,0,2
2009,REG,GB,14,6,1,1,1
2009,REG,GB,15,3,1,1,1
