Teams,9/10/2023,9/17/2023,9/24/2023,10/1/2023,10/8/2023,10/15/2023,10/22/2023,10/29/2023,11/5/2023,11/12/2023,11/19/2023,11/26/2023,12/3/2023,12/10/2023,12/17/2023,12/24/2023,12/31/2023,1/7/2024
ARI,@ WAS,vs. NYG,vs. DAL,@ SF,vs. CIN,@ LA,@ SEA,vs. BAL,@ CLE,vs. ATL,@ HOU,vs. LA,@ PIT,BYE,vs. SF,@ CHI,@ PHI,vs. SEA
ATL,vs. CAR,vs. GB,@ DET,@ JAX,vs. HOU,vs. WAS,@ TB,@ TEN,vs. MIN,@ ARI,BYE,vs. NO,@ NYJ,vs. TB,@ CAR,vs. IND,@ CHI,@ NO
BAL,vs. HOU,@ CIN,vs. IND,@ CLE,@ PIT,@ TEN,vs. DET,@ ARI,vs. SEA,vs. CLE,vs. CIN,@ LAC,BYE,vs. LA,@ JAX,@ SF,vs. MIA,vs. PIT
BUF,@ NYJ,vs LV,@ WAS,vs. MIA,vs. JAX,vs. NYG,@ NE,vs. TB,@ CIN,vs. DEN,vs. NYJ,@ PHI,BYE,@ KC,vs. DAL,@ LAC,vs. NE,@ MIA
CAR,@ ATL,vs. NO,@ SEA,vs. MIN,@ DET,@ MIA,BYE,vs. HOU,vs. IND,@ CHI,vs. DAL,@ TEN,@ TB,@ NO,vs. ATL,vs. GB,@ JAX,vs. TB
CHI,vs. GB,@ TB,@ KC,vs. DEN,@ WAS,vs. MIN,vs. LV,@ LAC,@ NO,vs. CAR,@ DET,@ MIN,BYE,vs. DET,@ CLE,vs. ARI,vs. ATL,@ GB
CIN,@ CLE,vs. BAL,vs. LA,@ TEN,@ ARI,vs. SEA,BYE,@ SF,vs. BUF,vs. HOU,@ BAL,vs. PIT,@ JAX,vs. IND,vs. MIN,@ PIT,@ KC,vs. CLE
CLE,vs. CIN,@ PIT,vs. TEN,vs. BAL,BYE,vs. SF,@ IND,@ SEA,vs. ARI,@ BAL,vs. PIT,@ DEN,@ LA,vs. JAX,vs. CHI,@ HOU,vs. NYJ,@ CIN
DAL,@ NYG,vs. NYJ,@ ARI,vs. NE,@ SF,@ LAC,BYE,vs. LA,@ PHI,vs. NYG,@ CAR,vs. WAS,vs. SEA,vs. PHI,@ BUF,@ MIA,vs. DET,@ WAS
DEN,vs. LV,vs. WAS,@ MIA,@ CHI,vs. NYJ,@ KC,vs. GB,vs. KC,BYE,@ BUF,vs. MIN,vs. CLE,@ HOU,@ LAC,@ DET,vs. NE,vs. LAC,@ LV
DET,@ KC,vs. SEA,vs. ATL,@ GB,vs. CAR,@ TB,@ BAL,vs. LV,BYE,@ LAC,vs. CHI,vs. GB,@ NO,@ CHI,vs. DEN,@ MIN,@ DAL,vs. MIN
GB,@ CHI,@ ATL,vs. NO,vs. DET,@ LV,BYE,@ DEN,vs. MIN,vs. LA,@ PIT,vs. LAC,@ DET,vs. KC,@ NYG,vs. TB,@ CAR,@ MIN,vs. CHI
HOU,@ BAL,vs. IND,@ JAX,vs. PIT,@ ATL,vs. NO,BYE,@ CAR,vs. TB,@ CIN,vs. ARI,vs. JAX,vs. DEN,@ NYJ,@ TEN,vs. CLE,vs. TEN,vs. IND
IND,vs. JAX,@ HOU,@ BAL,vs. LA,vs. TEN,@ JAX,vs. CLE,vs. NO,@ CAR,@ NE,BYE,vs. TB,@ TEN,@ CIN,vs. PIT,@ ATL,vs. LV,vs. HOU
JAX,@ IND,vs. KC,vs. HOU,vs. ATL,@ BUF,vs. IND,@ NO,@ PIT,BYE,vs. SF,vs. TEN,@ HOU,vs. CIN,@ CLE,vs. BAL,@ TB,vs. CAR,@ TEN
KC,vs. DET,@ JAX,vs. CHI,vs. NYJ,@ MIN,vs. DEN,vs. LAC,@ DEN,vs. MIA,BYE,vs. PHI,@ LV,@ GB,vs. BUF,@ NE,vs. LV,@ CIN,@ LAC
LV,@ DEN,@ BUF,vs. PIT,@ LAC,vs. GB,vs. NE,@ CHI,@ DET,vs. NYG,vs. NYJ,@ MIA,vs. KC,BYE,vs. MIN,vs. LAC,@ KC,@ IND,vs. DEN
LAC,vs. MIA,@ TEN,@ MIN,vs. LV,BYE,vs. DAL,@ KC,vs. CHI,@ NYJ,vs. DET,@ GB,vs. BAL,@ NE,vs. DEN,@ LV,vs. BUF,@ DEN,vs. KC
LA,@ SEA,vs. SF,@ CIN,@ IND,vs. PHI,vs. ARI,vs. PIT,@ DAL,@ GB,BYE,vs. SEA,@ ARI,vs. CLE,@ BAL,vs. WAS,vs. NO,@ NYG,@ SF
MIA,@ LAC,@ NE,vs. DEN,@ BUF,vs. NYG,vs. CAR,@ PHI,vs. NE,vs. KC,BYE,Vs. LV,@ NYJ,@ WAS,vs. TEN,vs. NYJ,vs. DAL,@ BAL,vs. BUF
MIN,vs. TB,@ PHI,vs. LAC,@ CAR,vs. KC,@ CHI,vs. SF,@ GB,@ ATL,vs. NO,@ DEN,vs. CHI,BYE,@ LV,@ CIN,vs. DET,vs. GB,@ DET
NE,vs. PHI,vs. MIA,@ NYJ,@ DAL,vs. NO,@ LV,vs. BUF,@ MIA,vs. WAS,vs. IND,BYE,@ NYG,vs. LAC,@ PIT,vs. KC,@ DEN,@ BUF,vs. NYJ
NO,vs. TEN,@ CAR,@ GB,vs. TB,@ NE,@ HOU,vs. JAX,@ IND,vs. CHI,@ MIN,BYE,@ ATL,vs. DET,vs. CAR,vs. NYG,@ LA,@ TB,vs. ATL
NYG,vs. DAL,@ ARI,@ SF,vs. SEA,@ MIA,@ BUF,@ WAS,vs. NYJ,@ LV,@ DAL,vs. WAS,vs. NE,BYE,vs. GB,@ NO,@ PHI,vs. LA,vs. PHI
NYJ,vs. BUF,@ DAL,vs. NE,vs. KC,@ DEN,vs. PHI,BYE,@ NYG,vs. LAC,@ LV,@ BUF,vs. MIA,vs. ATL,vs. HOU,@ MIA,vs. WAS,@ CLE,@ NE
PHI,@ NE,vs. MIN,@ TB,vs. WAS,@ LA,@ NYJ,vs. MIA,@ WAS,vs. DAL,BYE,@ KC,vs. BUF,vs. SF,@ DAL,@ SEA,vs. NYG,vs. ARI,@ NYG
PIT,vs. SF,vs. CLE,@ LV,@ HOU,vs. BAL,BYE,@ LA,vs. JAX,vs. TEN,vs. GB,@ CLE,@ CIN,vs ARI,vs. NE,@ IND,vs. CIN,@ SEA,@ BAL
SF,@ PIT,@ LA,vs. NYG,vs. ARI,vs. DAL,@ CLE,@ MIN,vs. CIN,BYE,@ JAX,vs. TB,@ SEA,@ PHI,vs. SEA,@ ARI,@ BAL,@ WAS,vs. LA
SEA,vs. LA,@ DET,vs. CAR,@ NYG,BYE,@ CIN,vs. ARI,vs. CLE,@ BAL,vs. WAS,@ LA,vs. SF,@ DAL,@ SF,vs. PHI,@ TEN,vs. PIT,@ ARI
TB,@ MIN,vs. CHI,vs. PHI,@ NO,BYE,vs. DET,vs. ATL,@ BUF,@ HOU,vs. TEN,@ SF,@ IND,vs. CAR,@ ATL,@ GB,vs. JAX,vs. NO,@ CAR
TEN,@ NO,vs. LAC,@ CLE,vs. CIN,@ IND,vs. BAL,BYE,vs. ATL,@ PIT,@ TB,@ JAX,vs. CAR,vs. IND,@ MIA,vs. HOU,vs. SEA,@ HOU,vs. JAX
