team,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,receiving_fumbles,receiving_fumbles_lost,special_teams_tds,is_home,opponent
ARI,195.83333,0.8333333333333334,0.75,2.75,20.083334,0.5833333333333334,0.3333333333333333,270.58334,85.25,9.833333,25.416666666666668,121.75,0.9166666666666666,0.16666667,0.0,6.3333335,0.0,0.0,0.0,False,PIT
ATL,220.72728,0.9090909090909091,0.8181818,2.7272727,19.181818,0.45454545454545453,0.36363636363636365,257.63635,96.545456,10.818182,32.0,139.27272,0.9090909090909091,0.45454547,0.18181819,8.181818,0.09090909,0.09090909,0.0,False,NYJ
BAL,221.33333,1.1666666666666667,0.41666666,2.4166667,13.833333,0.5833333333333334,0.3333333333333333,230.0,107.5,9.666667,32.5,158.58333,1.8333333333333333,0.33333334,0.16666667,9.0,0.5,0.25,0.0,BYE,BYE
BUF,267.83334,2.0,1.0833334,1.25,6.9166665,0.0,0.0,298.33334,124.583336,12.416667,27.666666666666668,122.333336,1.1666666666666667,0.33333334,0.16666667,8.666667,0.41666666,0.33333334,0.0,BYE,BYE
CAR,204.09091,1.0,0.72727275,3.909091,30.818182,0.45454545454545453,0.36363636363636365,249.54546,95.0,10.090909,24.272727272727273,92.63636,0.2727272727272727,0.27272728,0.18181819,6.090909,0.27272728,0.0,0.09090909,False,TB
CHI,203.83333,1.25,1.0,2.9166667,18.25,0.6666666666666666,0.4166666666666667,198.91667,109.166664,10.416667,31.333333333333332,137.66667,0.75,0.33333334,0.083333336,8.166667,0.33333334,0.25,0.0,BYE,BYE
CIN,236.72728,1.5454545454545454,0.6363636,2.8181818,20.818182,0.2727272727272727,0.09090909090909091,240.18182,126.72727,11.727273,20.0,75.818184,0.36363636363636365,0.0,0.0,4.7272725,0.27272728,0.09090909,0.09090909,False,JAX
CLE,201.63637,0.8181818181818182,1.1818181,3.0,20.454546,0.6363636363636364,0.2727272727272727,287.81818,98.545456,9.363636,33.36363636363637,139.45454,1.0,0.45454547,0.27272728,8.0,0.27272728,0.18181819,0.0,False,LA
DAL,277.18182,2.090909090909091,0.6363636,2.090909,14.818182,0.0,0.0,295.36365,115.545456,13.363636,27.90909090909091,115.27273,0.9090909090909091,0.18181819,0.09090909,6.7272725,0.45454547,0.09090909,0.09090909,True,SEA
DEN,199.90909,1.8181818181818181,0.36363637,3.0,14.909091,0.36363636363636365,0.2727272727272727,193.72728,106.72727,9.0,26.0,115.545456,0.2727272727272727,0.36363637,0.18181819,6.2727275,0.54545456,0.36363637,0.09090909,False,HOU
